original,Suspicious
"""अटिज्म"" शब्दले पहिलो पटक १९३८ मा यसको आधुनिक अर्थ लिएको थियो जब भियना विश्वविद्यालय अस्पतालका हान्स एस्पर्जरले बाल मनोविज्ञानको बारेमा जर्मनमा व्याख्यानमा ब्लुलरको शब्दावली ""अटिस्टिक साइकोप्याथ"" लाई अपनाए। एस्पर्जरले एस्पर्जर सिन्ड्रोम भनेर चिनिने एएसडीको अनुसन्धान गरिरहेको थियो, यद्यपि विभिन्न कारणहरूले यसलाई १९८१ सम्म छुट्टै निदानको रूपमा व्यापक रूपमा मान्यता दिइएन। जोन्स हप्किन्स अस्पतालका लियो क्यानरले पहिलो पटक अंग्रेजीमा यसको आधुनिक अर्थमा ""अटिज्म"" प्रयोग गरे जब उनले लेबल प्रस्तुत गरे। ""प्रारम्भिक शिशु अटिज्म"" १९४३ को एक प्रतिवेदनमा ११ बालबालिकाको व्यवहारमा समानताहरू छन्। यस विषयमा क्यानरको पहिलो पेपरमा वर्णन गरिएका लगभग सबै विशेषताहरू, विशेष गरी ""स्वतन्त्र एक्लोपन"" र ""समानतामा जोड"" लाई अझै पनि विकारहरूको अटिस्टिक स्पेक्ट्रमको विशिष्ट मानिन्छ। यो थाहा छैन कि क्यानरले एस्पर्जरबाट स्वतन्त्र रूपमा शब्द व्युत्पन्न गरेको हो।","""अटिज्म"" ले पहिलो पटक सन् १९३८ मा आफ्नो अत्याधुनिक ज्ञान लिएको थियो जब भियना युनिभर्सिटी अस्पतालका हान्स एस्पर्जरले बच्चाको मस्तिष्क विज्ञानको बारेमा जर्मनमा एउटा ठेगानामा ब्ल्युलरको वाक्यांश ""मानसिक रूपमा असंतुलित पागल मानिसहरू"" प्राप्त गरे। एस्पर्गरले हाल एस्परजर डिसअर्डर भनेर चिनिने एएसडीको जाँच गर्दै थिए, तर विभिन्न कारणहरूले गर्दा यसलाई १९८१ सम्म सामान्यतया फरक खोजको रूपमा मानिएको थिएन। जोन्स हप्किन्स अस्पतालका लियो क्यानरले पहिले ""रासायनिक असन्तुलन"" लाई अंग्रेजीमा यसको उन्नत अर्थमा प्रयोग गरे जब उनले प्रस्तुत गरे। उल्लेखनीय सामाजिक समानता भएका ११ बालबालिकाको १९४३ को रिपोर्टमा ""प्रारम्भिक बाल मानसिक असंतुलन"" चिन्ह लगाउनुहोस्। व्यावहारिक रूपमा यस विषयमा कन्नरको पहिलो पेपरमा चित्रण गरिएका प्रत्येक गुणहरू, प्रख्यात रूपमा ""मेडिकल रूपमा अन्तर्मुखी एक्लोपन"" र ""समानतामा जोड"" लाई अझै पनि मानसिक रूपमा असंतुलित दायराको अव्यवस्थाको मिलको रूपमा हेरिन्छ। यो थाहा छैन कि क्यानरले एस्पर्जरको शब्द स्वतन्त्र रूपमा अनुमान गरे।"
"डोनाल्ड ट्रिपलेट अटिजमको निदान भएको पहिलो व्यक्ति थिए। १९३८ मा पहिलो पटक जाँच गरिसकेपछि उनलाई कन्नर द्वारा निदान गरिएको थियो, र ""केस १"" को रूपमा लेबल गरिएको थियो। ट्रिप्लेट आफ्नो ज्ञानी क्षमताहरूको लागि प्रख्यात थिए, विशेष गरी पियानोमा बजाइएको संगीत नोटहरू नाम दिन र मानसिक रूपमा संख्याहरू गुणा गर्न सक्षम हुनु। उनका बुबा, ओलिभरले उनलाई सामाजिक रूपमा फिर्ता लिने तर संख्या ढाँचा, संगीत नोटहरू, वर्णमालाका अक्षरहरू, र अमेरिकी राष्ट्रपतिका तस्बिरहरूमा रुचि राखेको रूपमा वर्णन गरे। २ वर्षको उमेरमा, उहाँसँग २३ औं भजन पढ्न सक्ने क्षमता थियो र प्रेस्बिटेरियन क्याटेकिज्मबाट २५ प्रश्न र उत्तरहरू कण्ठ थियो। संगीतको तार सिर्जना गर्न पनि उनको रुचि थियो।","डोनाल्ड ट्रिपलेट मानसिक असन्तुलन भएको प्राथमिक व्यक्ति थिए। उसलाई १९३८ मा पहिले निरीक्षण गरिएको कारण क्यानर द्वारा विश्लेषण गरिएको थियो, र ""केस १"" को रूपमा चिन्ह लगाइएको थियो। ट्रिपलेट आफ्नो शैक्षिक क्षमताहरूको लागि प्रख्यात थियो, विशेष गरी पियानोमा बजाइएको मेलोडिक नोटहरू नाम दिने र तर्कसंगत संख्या बढाउने क्षमता भएको। उनका बुबा, ओलिभरले उसलाई सामाजिक रूपमा फिर्ता लिएको रूपमा चित्रण गर्नुभयो तर संख्या उदाहरणहरू, संगीत नोटहरू, क्रमबद्ध अक्षरहरू, र अमेरिकी राष्ट्रपतिका तस्बिरहरूद्वारा उत्सुक थिए। २ वर्षको उमेरमा, उहाँसँग २३ औं भजन पुन: गणना गर्ने क्षमता थियो र प्रेस्बिटेरियन ड्रिलबाट २५ प्रश्न र जवाफहरू राखे। उनी पनि सुमधुर स्वर बनाउनमा उत्तिकै उत्सुक थिए ।"
"क्यानरको ""अटिज्म"" को पुन: प्रयोगले ""बाल सिजोफ्रेनिया"" जस्ता भ्रमित शब्दावलीको दशकौं निम्त्यायो, र बाल मनोचिकित्सकको मातृत्व अभावमा केन्द्रित हुँदा ""फ्रिज आमाहरू"" लाई शिशुको प्रतिक्रियाको रूपमा अटिज्मको गलत धारणा निम्त्यायो। १९६० को दशकको अन्त्यमा अटिजम छुट्टै सिन्ड्रोमको रूपमा स्थापित भएको थियो।","क्यानरको ""रासायनिक असन्तुलन"" को पुन: प्रयोगले ""प्युरिले सिजोफ्रेनिया"" जस्ता धेरै वर्षको भ्रमपूर्ण वाक्यांशलाई प्रेरित गर्‍यो र मातृ कठिनाइमा बच्चाको मनोचिकित्सकको ध्यानले ""फ्रिज आमाहरू"" प्रति बच्चाको प्रतिक्रियाको रूपमा मानसिक असंतुलनको गलत व्याख्यालाई प्रेरित गर्‍यो। सन् १९६० को दशकको उत्तरार्धमा मानसिक असन्तुलन एक फरक विकारको रूपमा निर्माण भएको थियो।"
"सन् १९७० को दशकको मध्यतिर अटिजममा आनुवंशिक भूमिकाको थोरै प्रमाण थियो; जबकि २००७ मा यो सबैभन्दा वंशानुगत मनोचिकित्सा अवस्था मध्ये एक हो भन्ने विश्वास गरिएको थियो। यद्यपि अभिभावक संगठनहरूको उदय र बाल्यकालको एएसडी को डिस्टिग्मेटाइजेसनले एएसडी लाई हेर्ने तरिकालाई असर गरेको छ, आमाबाबुले उनीहरूको बच्चाको अटिस्टिक व्यवहारलाई नकारात्मक रूपमा लिने अवस्थाहरूमा सामाजिक कलंक महसुस गरिरहन्छन्, र धेरै प्राथमिक हेरचाह चिकित्सकहरू र चिकित्सा विशेषज्ञहरूले पुरानोसँग अनुरूप केही विश्वास व्यक्त गर्छन्। अटिजम अनुसन्धान।","सन् १९७० को दशकको मध्यसम्ममा रासायनिक असंतुलनमा वंशानुगत कामको थोरै प्रमाण थियो; जबकि २००७ मा यो सबैभन्दा विरासतपूर्ण मानसिक अवस्थाहरू मध्ये एक स्ट्यान्डआउट हुन स्वीकार गरियो। अभिभावक संघहरूको आरोहण र युवा एएसडीको अपमानजनकताले एएसडीलाई कसरी हेरिन्छ भनेर प्रभाव पारेको तथ्यको बावजुद, अभिभावकहरूले उनीहरूको टाइकको मानसिक रूपमा असन्तुलित आचरणलाई प्रतिकूल रूपमा देखेको अवस्थामा सामाजिक शर्ममा झुकाव राख्छन्, र धेरै आवश्यक विचार डाक्टरहरू र औषधि अधिकारीहरूले व्यक्त गर्छन्। अप्रचलित रासायनिक असंतुलन अनुसन्धान संग अनुमानित केहि विश्वास।"
"- लाई बाल्यकालको सिजोफ्रेनियाबाट अटिजम छुट्याउन १९८० सम्म लाग्यो। १९८७ मा, -- ले अटिजमको निदानको लागि चेकलिस्ट प्रदान गर्‍यो। मे २०१३ मा, -५ जारी गरिएको थियो, व्यापक विकास विकारहरूको लागि वर्गीकरण अद्यावधिक गर्दै। -, अटिजम,  सिन्ड्रोम,  सिन्ड्रोम, र  सहित विकारहरूको समूहलाई हटाइएको छ र अटिजम स्पेक्ट्रम विकारहरूको सामान्य शब्दको साथ प्रतिस्थापित गरिएको छ। अवस्थित दुई कोटिहरू सामाजिक सञ्चार र/वा अन्तरक्रिया, र प्रतिबन्धित र/वा दोहोरिने व्यवहारहरू हुन्।","- लाई युवा सिजोफ्रेनियाबाट मानसिक असंतुलन अलग गर्न १९८० सम्म लाग्यो। १९८७ मा, -- ले मानसिक असंतुलनको निदान गर्न एजेन्डा दियो। मे २०१३ मा, -५ डिस्चार्ज गरिएको थियो, अपरिहार्य प्रारम्भिक मुद्दाको लागि आदेशलाई ताजा गर्दै। -, मानसिक असंतुलन,  विकार,  विकार, र  लगायतका अव्यवस्थितहरूको भेलालाई खाली गरी अटिजम स्पेक्ट्रम डिसअर्डरको सामान्य शब्दको साथ प्रतिस्थापन गरिएको छ। अवस्थित दुई वर्गीकरणहरू सामाजिक पत्राचारको साथसाथै संगतमा बाधा पुर्‍याउँछन्, र सीमित र अनावश्यक अभ्यासहरू।"
"इन्टरनेटले अटिस्टिक व्यक्तिहरूलाई गैर-मौखिक संकेतहरू र भावनात्मक साझेदारीलाई बाइपास गर्न मद्दत गरेको छ जुन उनीहरूलाई व्यवहार गर्न गाह्रो छ, र उनीहरूलाई अनलाइन समुदायहरू बनाउन र टाढाबाट काम गर्ने तरिका दिएको छ। अटिजमको सामाजिक र सांस्कृतिक पक्षहरू विकसित भएका छन्: समुदायमा केहीले उपचार खोज्छन्, जबकि अरूले विश्वास गर्छन् कि अटिजम मात्र अर्को तरिका हो।","इन्टरनेटले चिकित्सकीय रूपमा अन्तर्मुखी मानिसहरूलाई गैर-मौखिक संकेतहरू र उत्साहजनक साझेदारी गर्न मद्दत गरेको छ जुन उनीहरूले व्यवस्थापन गर्न गाह्रो खोज्छन्, र उनीहरूलाई अनलाइन नेटवर्कहरू फ्रेम गर्न र टाढाबाट काम गर्ने दृष्टिकोण प्रदान गरेको छ। रासायनिक असंतुलनको सामाजिक र सामाजिक भागहरू निर्माण भएका छन्: नेटवर्कमा केहीले समाधान खोज्छन्, जबकि अरूले विश्वास गर्छन् कि मानसिक असंतुलन मूल रूपमा अर्को तरिका हो।"
"हात्तीहरू  क्रममा  परिवारका ठूला स्तनधारी प्राणी हुन्। हाल तीन प्रजातिहरू पहिचान गरिएका छन्: अफ्रिकी बुश हात्ती (""लोक्सोडोन्टा अफ्रिकाना""), अफ्रिकी वन हात्ती (""एल. साइक्लोटिस""), र एसियाली हात्ती (""एलिफास म्याक्सिमस"")। हात्तीहरू उप-सहारा अफ्रिका, दक्षिण एसिया र दक्षिणपूर्व एशियामा छरिएका छन्।  अर्डर  को एक मात्र जीवित परिवार हो; अन्य, अहिले लोप भैसकेको, अर्डरका सदस्यहरूमा डिनोथेरेस, गोम्फोथेरेस, मास्टोडोन, एनानसिड्स र स्टेगोडोन्टिडहरू समावेश छन्;  मा पनि धेरै अहिले लोप भएका समूहहरू छन्, जस्तै म्यामथहरू र सीधा-टस्क भएका हात्तीहरू।","हात्तीहरू  अनुरोधमा  परिवारका पर्याप्त विकसित जीवहरू हुन्। हाल तीन प्रजातिहरू मानिन्छन्: अफ्रिकी हेज हात्ती (""लोक्सोडोन्टा अफ्रिकाना""), अफ्रिकी ब्याकवुड्स हात्ती (""एल. साइक्लोटिस""), र एसियाली हात्ती (""एलिफास म्याक्सिमस"")। हात्तीहरू उप-सहारा अफ्रिका, दक्षिण एसिया र दक्षिणपूर्व एशियामा फैलिएका छन्।  अनुरोध  को मुख्य स्थायी समूह हो; अन्य, हाल मेटाइएका, अनुरोधका व्यक्तिहरूले डिनोथेरेस, गोम्फोथेरेस, मास्टोडोन, एनानसिड्स र स्टेगोडोन्टिडहरू समावेश गर्छन्;  ले पनि त्यसै गरी हाल मेटाइएका केही जमघटहरू समावेश गर्दछ, उदाहरणका लागि, म्यामथहरू र सीधा दाँत भएका हात्तीहरू।"
"सबै हात्तीहरूमा धेरै विशिष्ट विशेषताहरू छन्, जसमध्ये सबैभन्दा उल्लेखनीय लामो ट्रंक हो (जसलाई प्रोबोसिस पनि भनिन्छ), धेरै उद्देश्यका लागि प्रयोग गरिन्छ, विशेष गरी सास फेर्न, पानी उठाउन र वस्तुहरू पक्रने। तिनीहरूका इन्सिजरहरू दाँतमा बढ्छन्, जसले हतियारको रूपमा काम गर्न सक्छ र वस्तुहरू सार्ने र खन्ने उपकरणको रूपमा काम गर्न सक्छ। हात्तीका ठूला कानले आफ्नो शरीरको तापक्रम नियन्त्रण गर्न मद्दत गर्छ। तिनीहरूको स्तम्भ जस्तै खुट्टा तिनीहरूको ठूलो वजन बोक्न सक्छ। अफ्रिकी हात्तीका कान ठूला र अवतल पीठ हुन्छन् भने एशियाली हात्तीका कान साना र उत्तल वा लेभल पीठ हुन्छन्।","सबै हात्तीहरूमा केही अस्पष्ट हाइलाइटहरू छन्, जसमध्ये सबैभन्दा उल्लेखनीय लामो ट्रंक हो (जसलाई प्रोबोसिस भनिन्छ), केही कारणहरूका लागि प्रयोग गरिन्छ, विशेष गरी सास फेर्न, पानी उठाउन र वस्तुहरूमा ह्यान्डल प्राप्त गर्न। तिनीहरूका इन्सिजरहरू दाँतहरूमा विकसित हुन्छन्, जसले हतियारको रूपमा र वस्तुहरू सार्ने र डुबाउने उपकरणको रूपमा भर्न सक्छ। हात्तीका कानका पट्टिहरूले उनीहरूको शरीरको तापक्रम नियन्त्रण गर्न मद्दत गर्छन्। तिनीहरूको स्तम्भ जस्तै खुट्टाले तिनीहरूको असाधारण वजन व्यक्त गर्न सक्छ। अफ्रिकी हात्तीहरूको कान ठूला र ढाकेको पीठ हुन्छ भने एसियाली हात्तीहरूको कान साना र कमानी वा तहको पीठ हुन्छ।"
"हात्तीहरू शाकाहारी हुन् र सवाना, जङ्गल, मरुभूमि र दलदललगायत विभिन्न बासस्थानहरूमा पाइन्छ। तिनीहरू पानी नजिकै बस्न रुचाउँछन्। तिनीहरूको वातावरणमा तिनीहरूको प्रभावको कारण तिनीहरू एक किस्टोन प्रजाति मानिन्छन्। अन्य जनावरहरूले हात्तीहरूबाट आफ्नो दूरी कायम राख्छन् जबकि शिकारीहरू, जस्तै सिंह, बाघ, हाइना र कुनै पनि जंगली कुकुरहरू, सामान्यतया जवान हात्तीहरू (वा ""बाछो"") लाई लक्षित गर्छन्। हात्तीहरूको एक विखंडन-फ्युजन समाज हुन्छ जसमा धेरै परिवार समूहहरू सामाजिकीकरण गर्न एकसाथ आउँछन्। महिलाहरू (""गाईहरू"") पारिवारिक समूहहरूमा बस्छन्, जसमा एक महिला आफ्नो बाछो वा धेरै सम्बन्धित महिलाहरू सन्तानसँग समावेश हुन सक्छन्। समूहहरूको नेतृत्व मातृआर्क भनेर चिनिने व्यक्तिद्वारा गरिन्छ, प्रायः सबैभन्दा पुरानो गाई।","हात्तीहरू शाकाहारी हुन् र सवाना, वुडल्याण्ड, मरुभूमि र बोगहरू सहित विभिन्न क्षेत्रहरूमा फेला पार्न सकिन्छ। उनीहरु पानी नजिकै बस्न रुचाउँछन् । तिनीहरूको वरपरको प्रभावको कारण तिनीहरूलाई आधारशिला पशु प्रजातिहरूको रूपमा हेरिन्छ। बिभिन्न प्राणीहरू सामान्यतया हात्तीहरूबाट टाढा रहनेछन् जबकि शिकारीहरू, उदाहरणका लागि, सिंह, बाघ, हाइना, र कुनै पनि जंगली कुकुरहरू, नियमको रूपमा केवल युवा हात्तीहरू (वा ""बाछो"") लाई लक्षित गर्दछ। हात्तीहरूको एक विखंडन संयोजन समाज हुन्छ जसमा विभिन्न परिवारका गुच्छाहरू मिलनसम्म मिल्छन्। महिलाहरू (""गोवाइन्स"") सामान्यतया पारिवारिक जमघटहरूमा बस्छन्, जसमा एक महिला आफ्नो बाछो वा केही सम्बन्धित महिलाहरू सन्तानसँग समावेश हुन सक्छन्। जमघटहरू महिला अधिकार भनेर चिनिने व्यक्तिद्वारा संचालित हुन्छन्, प्रायः सबैभन्दा स्थापित डेयरी जनावरहरू।"
"पुरुषहरू (""बुलहरू"") युवावस्थामा पुग्दा आफ्नो परिवार समूह छोड्छन् र एक्लै वा अन्य पुरुषहरूसँग बस्न सक्छन्। वयस्क साँढेहरू प्रायः पारिवारिक समूहहरूसँग अन्तरक्रिया गर्छन् जब साथी खोज्छन् र बढ्दो टेस्टोस्टेरोन र आक्रामकताको स्थितिमा प्रवेश गर्छन् जसलाई मुस्ट भनिन्छ, जसले तिनीहरूलाई प्रभुत्व र प्रजनन सफलता प्राप्त गर्न मद्दत गर्दछ। बाछोहरू उनीहरूको पारिवारिक समूहहरूमा ध्यानको केन्द्र हुन् र तीन वर्षसम्म तिनीहरूका आमाहरूमा भर पर्छन्। हात्तीहरू जंगलमा ७० वर्षसम्म बाँच्न सक्छन्। तिनीहरू स्पर्श, दृष्टि, गन्ध, र आवाज द्वारा सञ्चार गर्छन्; हात्तीहरूले लामो दूरीमा इन्फ्रासाउन्ड र भूकम्पीय सञ्चारको प्रयोग गर्छन्। हात्तीको बुद्धिमत्तालाई प्राइमेट र सिटेशियन्ससँग तुलना गरिएको छ। तिनीहरूमा आत्म-जागरूकता देखिन्छ र तिनीहरूको प्रकारको मरेका वा मृत व्यक्तिहरूप्रति सहानुभूति देखाउँछन्।","केटाहरू (""बुलहरू"") किशोरावस्थामा पुगेपछि आफ्नो पारिवारिक गुच्छा छोड्छन् र एक्लै वा विभिन्न केटाहरूसँग बस्न सक्छन्। हुर्केका साँढेहरू अधिकांश भागका लागि साथीको खोजी गर्दा पारिवारिक गुच्छाहरूसँग कुराकानी गर्छन् र विस्तारित टेस्टोस्टेरोन र मुस्ट भनेर चिनिने शत्रुताको स्थितिमा प्रवेश गर्छन्, जसले उनीहरूलाई बल र पुनरुत्थान उपलब्धि प्राप्त गर्दछ। बाछोहरू उनीहरूको पारिवारिक जमघटहरूमा विचारको केन्द्र बिन्दु हुन् र तीन वर्षसम्म तिनीहरूका आमाहरूमा निर्भर हुन्छन्। हात्तीहरूले ७० वर्षसम्म प्रकृतिमा सन्तुष्ट हुन सक्छन्। तिनीहरू सम्पर्क, दृष्टि, गन्ध र ध्वनिद्वारा प्रदान गर्छन्; हात्तीहरूले इन्फ्रासाउन्ड प्रयोग गर्छन्, र लामो विभाजनहरूमा भूकम्प पत्राचार। हात्तीको ज्ञान र प्राइमेट र सिटेसियनको विपरित रहेको छ। तिनीहरूले आफ्नो प्रकारको धूलो वा मरेका मानिसहरूलाई टोक्नको लागि सजगता देखाउँछन् र दया देखाउँछन्।"
"इन्टरनेशनल युनियन फर कन्जर्भेसन अफ नेचर (आईयूसीएन) ले अफ्रिकी हात्तीलाई जोखिममा राखेको छ भने एशियाली हात्तीलाई लोपोन्मुखको रूपमा वर्गीकृत गरिएको छ। हात्तीको आबादीको लागि सबैभन्दा ठूलो खतरा भनेको हात्तीको दाँतको व्यापार हो, किनकि जनावरहरूलाई तिनीहरूको हात्तीको दाँतको लागि शिकार गरिन्छ। जंगली हात्तीहरूको लागि अन्य खतराहरूमा बासस्थानको विनाश र स्थानीय मानिसहरूसँग द्वन्द्वहरू समावेश छन्। हात्तीलाई एसियामा काम गर्ने जनावरको रूपमा प्रयोग गरिन्छ। विगतमा, तिनीहरू युद्धमा प्रयोग भएका थिए; आज, तिनीहरू प्राय: विवादास्पद रूपमा चिडियाखानाहरूमा प्रदर्शनमा राखिन्छन्, वा सर्कसमा मनोरञ्जनको लागि शोषण गरिन्छ। हात्तीहरू धेरै चिन्ने योग्य छन् र कला, लोककथा, धर्म, साहित्य, र लोकप्रिय संस्कृतिमा चित्रित गरिएको छ।","इन्टरनेशनल युनियन फर कन्जर्भेसन अफ नेचर (आईयूसीएन) ले अफ्रिकी हात्तीहरूलाई सुरक्षाविहीनको रूपमा रेकर्ड गरेको छ भने एशियाली हात्तीलाई खतराको रूपमा वर्गीकृत गरिएको छ। हात्तीहरूका लागि सबैभन्दा ठूलो खतराहरूमध्ये एउटा हात्तीको दाँतको आदानप्रदान हो, किनकि जीवहरू तिनीहरूको हात्तीको दाँतको दाँतका लागि शिकार हुन्छन्। जंगली हात्तीहरूका लागि विभिन्न खतराहरूमा प्राकृतिक परिवेश पल्भराइजेसन र छिमेकी व्यक्तिहरूसँग झगडाहरू समावेश छन्। हात्तीलाई एसियामा काम गर्ने प्राणीको रूपमा प्रयोग गरिन्छ। पहिले, तिनीहरू युद्धमा प्रयोग भएका थिए; आज, तिनीहरू प्रायः चिडियाखानाहरूमा सादा दृश्यमा शंकास्पद रूपमा राखिन्छन्, वा कार्निभलहरूमा डाइभर्सनको लागि दुर्व्यवहार गरिन्छ। हात्तीहरू धेरै अस्पष्ट छन् र शिल्पकला, पुराना कथाहरू, धर्म, लेखन, र मूलधारको संस्कृतिमा हाइलाइट गरिएको छ।"
"""हात्ती"" शब्द ल्याटिन """" ( """") ("""") मा आधारित छ, जुन ग्रीक ("""") ( ("""") को ल्याटिनीकृत रूप हो, सायद। एक गैर-भारत-युरोपियन भाषाबाट, सम्भवतः फोनिशियन। यो माइसेनियन ग्रीकमा ""--"" ( ""---"") को रूपमा लिनियर  सिलेबिक लिपिमा प्रमाणित गरिएको छ। माइसेनियन ग्रीकमा जस्तै, होमरले ग्रीक शब्दलाई हात्तीको दाँतको अर्थमा प्रयोग गरे, तर हेरोडोटसको समय पछि, यसले जनावरलाई पनि उल्लेख गर्यो। ""हात्ती"" शब्द मध्य अंग्रेजीमा ""ओलिफान्ट"" (.१३००) को रूपमा देखिन्छ र पुरानो फ्रान्सेली """" (१२ औं शताब्दी) बाट उधारिएको थियो। ""लोक्सोडोन्टा"", अफ्रिकी हात्तीहरूको सामान्य नाम, ""तिरछा-पक्षीय दाँत"" को लागि ग्रीक हो।",""""" ल्याटिन """" ( """") ("""") मा निर्भर गर्दछ, जुन ग्रीक ("""") ( á¼Î) को ल्याटिनाइज्ड प्रकार हो। ("""")), सम्भवतः एक गैर-इन्डो-युरोपियन भाषाबाट, सम्भवतः फोनिसियन। यो माइसेनियन ग्रीकमा ""--"" ( ""-- "") को रूपमा लिनियर  सिलेबिक सामग्रीमा बोर साक्षी छ। माइसेनियन ग्रीकमा जस्तै, होमरले ग्रीक शब्दलाई हात्तीको दाँतको अर्थमा प्रयोग गरे, तर हेरोडोटसको मौसम पछि, यसले प्राणीलाई पनि संकेत गर्यो। """" मध्य अंग्रेजीमा """" (.१३००) को रूपमा देखिन्छ र पुरानो फ्रान्सेली """" (बाह्रौं शताब्दी) बाट प्राप्त गरिएको थियो। ""लोक्सोडोन्टा"", अफ्रिकी हात्तीहरूको परम्परागत नाम, ""कोण पक्षीय दाँत"" को लागि ग्रीक हो।"
"हात्तीहरू  परिवारसँग सम्बन्धित छन्, अर्डर प्रोबोस्सिडिया भित्रको एकमात्र बाँकी परिवार जुन सुपरअर्डर अफ्रोथेरियासँग सम्बन्धित छ। तिनीहरूका निकटतम वर्तमान आफन्तहरू साइरेनियनहरू (डुगोंगहरू र मानाटीहरू) र हाइराक्सहरू हुन्, जससँग तिनीहरूले सुपरअर्डर अफ्रोथेरिया भित्र क्लेड पेनुगुलाटा साझा गर्छन्। हात्ती र साइरेनियनहरू क्लेड टेथिथेरियामा थप समूहबद्ध छन्। हात्तीका तीन प्रजातिहरू चिनिन्छन्; अफ्रिकी झाडी हात्ती (""लोक्सोडोन्टा अफ्रिकाना"") र सब-सहारा अफ्रिकाको वन हात्ती (""लोक्सोडोन्टा साइक्लोटिस""), र दक्षिण र दक्षिणपूर्व एशियाको एसियाली हात्ती (""एलिफास म्याक्सिमस"")। अफ्रिकी हात्तीहरूको कान ठूला, अवतल पछाडि, बढी झुर्रिएको छाला, ढल्किएको पेट र सुँडको टुप्पोमा दुईवटा औंलाजस्तो विस्तार हुन्छ। एसियाली हात्तीका कान साना, उत्तल वा लेभल ब्याक, चिल्लो छाला, तेर्सो पेट जो कहिलेकाहीँ बीचमा ढल्किन्छ र खोडको टुप्पोमा एउटा विस्तार हुन्छ। एशियन हात्तीमा दाढ़मा लूप गरिएको चट्टानहरू साँघुरो हुन्छन् जबकि अफ्रिकी हात्तीहरू अधिक हीराको आकारका हुन्छन्। एसियाली हात्तीको टाउकोमा पृष्ठीय बम्पहरू र यसको छालामा डिपिग्मेन्टेशनका केही धब्बाहरू पनि हुन्छन्।"," परिवारसँग हात्तीहरूको ठाउँ छ, अनुरोध प्रोबोस्सिडिया भित्रको एकमात्र उत्कृष्ट परिवार जसको सुपरअर्डर अफ्रोथेरियासँग ठाउँ छ। तिनीहरूका निकटतम जीवित आफन्तहरू साइरेनियनहरू (डुगोंगहरू र मानाटीहरू) र हाइराक्सहरू हुन्, जससँग तिनीहरूले सुपरअर्डर अफ्रोथेरिया भित्र क्लेड पेनुगुलाटा साझा गर्छन्। क्लेड टेथिथेरियामा हात्ती र साइरेनियनहरू पनि जम्मा हुन्छन्। तीन प्रकारका हात्तीहरू मानिन्छन्; अफ्रिकी झुम्बेरी हात्ती (""लोक्सोडोन्टा अफ्रिकाना"") र उप-सहारा अफ्रिकाको ब्याकवुड्स हात्ती (""लोक्सोडोन्टा साइक्लोटिस""), र दक्षिण र दक्षिणपूर्व एशियाको एसियाली हात्ती (""एलिफास म्याक्सिमस"")। अफ्रिकी हात्तीहरू ठूला कानहरू, घुमाउरो पछाडि, बढ्दो झुर्रिएको छाला, ढिलो मिडरिफ, र भण्डारण डिब्बाको टुप्पोमा दुई औंलाहरू जस्तै वृद्धि हुन्छ। एसियाली हात्तीका कान साना हुन्छन्, घुमाउरो वा लेभल ब्याक, चिल्लो छाला, मध्य-क्षेत्र जुन कहिलेकाहीँ केन्द्रमा झर्छ र भण्डारण डिब्बाको टुप्पोमा एक वृद्धि हुन्छ। दाढ़मा गोलाकार किनारहरू एसियाली हात्तीमा साना हुन्छन् जबकि अफ्रिकी हात्तीहरू बढी गहना बनेका हुन्छन्। एसियाली हात्तीको टाउकोमा पृष्ठीय ढकढकहरू र यसको छालामा डिपिग्मेन्टेशनका केही धब्बाहरू छन्।"
